year,season,sport,countries_winning_medals,sport_country_hhi,sport_medal_entropy,max_country_share,sport_year_total_medals,sport_globalization_index
1896,Summer,Athletics,7,0.2930612244897959,1.5098863271686571,0.45714285714285713,35,0.7069387755102041
1896,Summer,Cycling,5,0.2578125,1.4614721293040243,0.375,16,0.7421875
1896,Summer,Fencing,3,0.40625,0.9743147528693494,0.5,8,0.59375
1896,Summer,Gymnastics,3,0.4135802469135803,0.9809896824453153,0.5555555555555556,18,0.5864197530864197
1896,Summer,Shooting,3,0.44000000000000006,0.9502705392332347,0.6,15,0.5599999999999999
1896,Summer,Swimming,3,0.44000000000000006,0.9502705392332347,0.6,10,0.5599999999999999
1896,Summer,Tennis,5,0.25925925925925924,1.464816384890813,0.3333333333333333,9,0.7407407407407407
1896,Summer,Weightlifting,3,0.3333333333333333,1.0986122886681096,0.3333333333333333,6,0.6666666666666667
1896,Summer,Wrestling,2,0.5555555555555556,0.6365141682948128,0.6666666666666666,3,0.4444444444444444
1900,Summer,Archery,2,0.545,0.6474466390346325,0.65,20,0.45499999999999996
1900,Summer,Athletics,12,0.3509766855702583,1.5803595083901616,0.5652173913043478,69,0.6490233144297417
1900,Summer,Basque Pelota,1,1.0,-0.0,1.0,1,0.0
1900,Summer,Cricket,2,0.5555555555555556,0.6365141682948128,0.6666666666666666,3,0.4444444444444444
1900,Summer,Croquet,1,1.0,-0.0,1.0,7,0.0
1900,Summer,Cycling,5,0.3580246913580247,1.3030924037617193,0.5555555555555556,9,0.6419753086419753
1900,Summer,Equestrianism,3,0.41333333333333333,0.9701157839869381,0.5333333333333333,15,0.5866666666666667
1900,Summer,Fencing,4,0.5374149659863946,0.9121588139190028,0.7142857142857143,21,0.4625850340136054
1900,Summer,Football,4,0.28,1.3321790402101223,0.4,5,0.72
1900,Summer,Golf,2,0.5555555555555556,0.6365141682948128,0.6666666666666666,6,0.4444444444444444
1900,Summer,Gymnastics,1,1.0,-0.0,1.0,3,0.0
1900,Summer,Polo,4,0.2839506172839506,1.310783678099714,0.3333333333333333,9,0.7160493827160495
1900,Summer,Rowing,6,0.2653061224489796,1.5367224694372192,0.42857142857142855,14,0.7346938775510203
1900,Summer,Rugby,5,0.20000000000000004,1.6094379124341005,0.2,5,0.7999999999999999
1900,Summer,Sailing,6,0.3652445369406868,1.3067329794624838,0.5483870967741935,31,0.6347554630593132
1900,Summer,Shooting,6,0.2032,1.668551040319442,0.28,25,0.7968
1900,Summer,Swimming,8,0.15646258503401358,1.9513496062520654,0.23809523809523808,21,0.8435374149659864
1900,Summer,Tennis,4,0.3395061728395062,1.223575654138956,0.5,18,0.6604938271604939
1900,Summer,Tug-Of-War,4,0.25,1.3862943611198906,0.25,4,0.75
1900,Summer,Water Polo,4,0.28,1.3321790402101223,0.4,5,0.72
1904,Summer,Archery,1,1.0,-0.0,1.0,16,0.0
1904,Summer,Athletics,6,0.8171296296296297,0.46961387921805253,0.9027777777777778,72,0.18287037037037035
1904,Summer,Boxing,1,1.0,-0.0,1.0,18,0.0
1904,Summer,Cycling,1,1.0,-0.0,1.0,21,0.0
1904,Summer,Diving,2,0.5555555555555556,0.6365141682948128,0.6666666666666666,3,0.4444444444444444
1904,Summer,Fencing,2,0.6088888888888888,0.5799151714181009,0.7333333333333333,15,0.3911111111111112
1904,Summer,Football,2,0.5555555555555556,0.6365141682948128,0.6666666666666666,3,0.4444444444444444
1904,Summer,Golf,2,0.7222222222222223,0.45056120886630463,0.8333333333333334,6,0.2777777777777777
1904,Summer,Gymnastics,4,0.6538775510204082,0.7162008651137044,0.8,35,0.34612244897959177
1904,Summer,Lacrosse,2,0.5555555555555556,0.6365141682948128,0.6666666666666666,3,0.4444444444444444
1904,Summer,Roque,1,1.0,-0.0,1.0,3,0.0
1904,Summer,Rowing,2,0.8673469387755102,0.25731864054383163,0.9285714285714286,14,0.13265306122448983
1904,Summer,Swimming,5,0.29555555555555557,1.3655230860155625,0.43333333333333335,30,0.7044444444444444
1904,Summer,Tennis,1,1.0,-0.0,1.0,6,0.0
1904,Summer,Tug-Of-War,2,0.625,0.5623351446188083,0.75,4,0.375
1904,Summer,Water Polo,1,1.0,-0.0,1.0,3,0.0
1904,Summer,Weightlifting,3,0.3888888888888889,1.0114042647073518,0.5,6,0.6111111111111112
1904,Summer,Wrestling,4,0.6689342403628118,0.6849547610531581,0.8095238095238095,21,0.3310657596371882
1906,Summer,Athletics,11,0.18994140625,1.9499996267857929,0.34375,64,0.81005859375
1906,Summer,Cycling,5,0.271604938271605,1.4264444338582805,0.3888888888888889,18,0.728395061728395
1906,Summer,Diving,2,0.5555555555555556,0.6365141682948128,0.6666666666666666,3,0.4444444444444444
1906,Summer,Fencing,8,0.15311909262759923,1.9565588879179248,0.21739130434782608,23,0.8468809073724007
1906,Summer,Football,4,0.25,1.3862943611198906,0.25,4,0.75
1906,Summer,Gymnastics,6,0.2222222222222222,1.6326309271543518,0.3333333333333333,12,0.7777777777777778
1906,Summer,Rowing,4,0.30246913580246915,1.2487993582902113,0.3333333333333333,18,0.6975308641975309
1906,Summer,Shooting,7,0.22685185185185186,1.638479597624642,0.3333333333333333,36,0.7731481481481481
1906,Summer,Swimming,6,0.25,1.5832584594204766,0.4166666666666667,12,0.75
1906,Summer,Tennis,3,0.3888888888888889,1.0114042647073518,0.5,12,0.6111111111111112
1906,Summer,Tug-Of-War,3,0.3333333333333333,1.0986122886681096,0.3333333333333333,3,0.6666666666666667
1906,Summer,Weightlifting,5,0.22448979591836732,1.5498260458782016,0.2857142857142857,7,0.7755102040816326
1906,Summer,Wrestling,5,0.26388888888888884,1.4451858789480823,0.3333333333333333,12,0.7361111111111112
1908,Summer,Archery,3,0.4320987654320988,0.936888307539016,0.5555555555555556,9,0.5679012345679012
1908,Summer,Athletics,13,0.242603550295858,1.863324545518097,0.4230769230769231,78,0.757396449704142
1908,Summer,Boxing,2,0.8755555555555556,0.24493002679463532,0.9333333333333333,15,0.12444444444444436
1908,Summer,Cycling,5,0.34567901234567905,1.2676770290452555,0.5,18,0.654320987654321
1908,Summer,Diving,3,0.3877551020408163,1.0042424730540764,0.42857142857142855,7,0.6122448979591837
1908,Summer,Fencing,6,0.2222222222222222,1.6326309271543518,0.3333333333333333,12,0.7777777777777778
1908,Summer,Figure Skating,4,0.3472222222222222,1.198849312913621,0.5,12,0.6527777777777778
1908,Summer,Football,3,0.3333333333333333,1.0986122886681096,0.3333333333333333,3,0.6666666666666667
1908,Summer,Gymnastics,6,0.16666666666666669,1.7917594692280547,0.16666666666666666,6,0.8333333333333333
1908,Summer,Hockey,1,1.0,-0.0,1.0,3,0.0
1908,Summer,Jeu De Paume,2,0.5555555555555556,0.6365141682948128,0.6666666666666666,3,0.4444444444444444
1908,Summer,Lacrosse,2,0.5,0.6931471805599453,0.5,2,0.5
1908,Summer,Motorboating,2,0.5555555555555556,0.6365141682948128,0.6666666666666666,3,0.4444444444444444
1908,Summer,Polo,1,1.0,-0.0,1.0,2,0.0
